C45BBE384CD2,C45BBE386362,C45BBE386952,C45BBE39870E,C45BBE39F42A,C45BBE39F56A,C45BBE39F9AE,AB032A311FAA,A8032A31204E,C45BBE37B346
0.0,0.0,0.0,0.0,0.0,0.0,-69.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-74.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-73.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-73.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-73.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-65.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-74.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-74.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-73.0,0.0,0.0,0.0
