C45BBE384CD2,C45BBE386362,C45BBE386952,C45BBE39870E,C45BBE39F42A,C45BBE39F56A,C45BBE39F9AE,AB032A311FAA,A8032A31204E,C45BBE37B346
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0
