macModule,rssi,Time,Position (m)
A8032A31204E,-59,12:56:01.894000,30
C45BBE37B346,-73,12:56:03.155000,30
C45BBE37B346,-78,12:56:06.963000,30
A8032A31204E,-70,12:56:13.315000,30
A8032A31204E,-60,12:56:23.005000,30
C45BBE37B346,-77,12:56:24.255000,30
A8032A31204E,-52,12:56:30.597000,30
A8032A31204E,-52,12:56:42.143000,30
A8032A31204E,-53,12:56:49.802000,30
A8032A31204E,-45,12:57:03.217000,30
A8032A31204E,-60,12:57:12.783000,30
C45BBE39F9AE,-78,12:57:13.437000,30
A8032A31204E,-57,12:57:22.390000,30
C45BBE39F9AE,-78,12:57:23.251000,30
A8032A31204E,-56,12:57:31.927000,30
A8032A311FAA,-76,12:57:32.363000,30
C45BBE39F9AE,-78,12:57:33.021000,30
A8032A311FAA,-77,12:57:36.320000,30
C45BBE39F9AE,-77,12:57:40.782000,30
A8032A31204E,-58,12:57:43.454000,30
A8032A31204E,-51,12:57:53.023000,30
A8032A31204E,-64,12:58:00.676000,31
C45BBE39F56A,-78,12:58:01.691000,31
C45BBE37B346,-78,12:58:02.337000,31
C45BBE39F56A,-80,12:58:05.572000,31
C45BBE37B346,-77,12:58:08.170000,31
A8032A31204E,-61,12:58:12.229000,31
C45BBE37B346,-71,12:58:21.623000,31
A8032A31204E,-70,12:58:21.732000,31
C45BBE37B346,-76,12:58:27.417000,31
A8032A31204E,-61,12:58:31.305000,31
A8032A31204E,-73,12:58:42.796000,31
A8032A31204E,-58,12:58:52.331000,31
C45BBE39F56A,-79,12:59:01.866000,31
A8032A31204E,-67,12:59:01.877000,31
C45BBE37B346,-75,12:59:01.899000,31
C45BBE37B346,-80,12:59:03.852000,31
A8032A31204E,-46,12:59:13.345000,31
C45BBE39F9AE,-78,12:59:14.669000,31
A8032A31204E,-48,12:59:22.861000,31
C45BBE39F9AE,-80,12:59:32.133000,31
A8032A31204E,-74,12:59:32.442000,31
A8032A311FAA,-80,12:59:33.451000,31
C45BBE39F9AE,-76,12:59:41.857000,31
A8032A31204E,-47,12:59:42.042000,31
A8032A311FAA,-79,12:59:43.295000,31
A8032A311FAA,-79,12:59:45.268000,31
C45BBE39F9AE,-80,12:59:45.858000,31
A8032A31204E,-76,12:59:51.597000,31
C45BBE37B346,-80,12:59:51.842000,31
A8032A31204E,-79,13:00:01.175000,32
C45BBE37B346,-74,13:00:03.311000,32
A8032A31204E,-69,13:00:10.751000,32
C45BBE37B346,-74,13:00:10.989000,32
C45BBE37B346,-77,13:00:16.755000,32
C45BBE386952,-80,13:00:19.845000,32
A8032A31204E,-65,13:00:22.247000,32
C45BBE386952,-80,13:00:27.568000,32
A8032A31204E,-66,13:00:29.982000,32
C45BBE37B346,-74,13:00:41.756000,32
A8032A31204E,-60,13:00:43.375000,32
C45BBE39F56A,-79,13:00:49.316000,32
A8032A31204E,-76,13:00:53.142000,32
C45BBE37B346,-73,13:00:53.266000,32
A8032A31204E,-75,13:01:02.681000,32
C45BBE37B346,-79,13:01:02.918000,32
C45BBE39F56A,-79,13:01:02.948000,32
A8032A311FAA,-79,13:01:07.162000,32
C45BBE39F9AE,-73,13:01:11.787000,32
A8032A31204E,-47,13:01:12.316000,32
A8032A31204E,-78,13:01:22.020000,32
C45BBE39F56A,-80,13:01:29.005000,32
C45BBE37B346,-73,13:01:30.175000,32
A8032A31204E,-72,13:01:31.657000,32
C45BBE37B346,-79,13:01:39.940000,32
A8032A31204E,-77,13:01:43.166000,32
A8032A31204E,-59,13:01:52.793000,32
A8032A31204E,-57,13:02:02.449000,33
A8032A31204E,-59,13:02:12.301000,33
A8032A31204E,-59,13:02:21.948000,33
C45BBE39F9AE,-77,13:02:24.151000,33
A8032A31204E,-64,13:02:33.423000,33
C45BBE39F9AE,-76,13:02:40.022000,33
A8032A311FAA,-79,13:02:41.941000,33
A8032A31204E,-65,13:02:43.042000,33
A8032A31204E,-63,13:02:48.846000,33
C45BBE39F9AE,-80,13:02:51.771000,33
C45BBE39F9AE,-75,13:02:57.641000,33
A8032A311FAA,-78,13:03:01.431000,33
A8032A31204E,-66,13:03:02.423000,33
C45BBE37B346,-80,13:03:06.763000,33
C45BBE39F56A,-79,13:03:07.829000,33
A8032A31204E,-63,13:03:11.955000,33
A8032A31204E,-76,13:03:23.484000,33
A8032A31204E,-69,13:03:31.152000,33
A8032A31204E,-71,13:03:36.881000,33
A8032A31204E,-68,13:03:52.236000,33
A8032A31204E,-70,13:04:01.730000,34
A8032A31204E,-78,13:04:13.237000,34
A8032A31204E,-70,13:04:22.777000,34
A8032A31204E,-73,13:04:32.361000,34
A8032A31204E,-67,13:04:42.086000,34
A8032A31204E,-63,13:04:51.746000,34
A8032A31204E,-65,13:05:03.353000,34
A8032A311FAA,-80,13:05:06.790000,34
C45BBE39F56A,-80,13:05:12.625000,34
A8032A31204E,-73,13:05:12.994000,34
C45BBE39F56A,-79,13:05:15.786000,34
C45BBE37B346,-75,13:05:21.623000,34
A8032A31204E,-73,13:05:22.525000,34
A8032A31204E,-76,13:05:32.053000,34
C45BBE37B346,-73,13:05:33.150000,34
A8032A31204E,-74,13:05:41.600000,34
C45BBE37B346,-71,13:05:42.686000,34
C45BBE39F56A,-79,13:05:43.311000,34
C45BBE39F56A,-79,13:05:49.159000,34
C45BBE37B346,-73,13:05:52.387000,34
A8032A31204E,-73,13:05:53.066000,34
C45BBE37B346,-74,13:06:02.003000,35
A8032A31204E,-76,13:06:02.644000,35
A8032A31204E,-75,13:06:10.364000,35
C45BBE37B346,-72,13:06:11.623000,35
C45BBE37B346,-72,13:06:15.465000,35
C45BBE386952,-80,13:06:18.749000,35
A8032A31204E,-70,13:06:21.887000,35
A8032A31204E,-66,13:06:33.333000,35
A8032A31204E,-77,13:06:42.911000,35
C45BBE37B346,-69,13:06:51.950000,35
A8032A31204E,-79,13:06:52.655000,35
C45BBE39F56A,-78,13:06:53.333000,35
C45BBE39F56A,-77,13:06:57.233000,35
A8032A31204E,-79,13:07:02.359000,35
C45BBE37B346,-71,13:07:03.451000,35
C45BBE39F56A,-78,13:07:08.886000,35
A8032A31204E,-77,13:07:11.892000,35
C45BBE37B346,-71,13:07:13.060000,35
C45BBE39F56A,-78,13:07:22.500000,35
C45BBE37B346,-70,13:07:22.816000,35
A8032A31204E,-79,13:07:23.379000,35
C45BBE37B346,-73,13:07:24.673000,35
A8032A31204E,-73,13:07:31.037000,35
A8032A31204E,-80,13:07:42.509000,35
A8032A31204E,-74,13:07:50.191000,35
A8032A31204E,-68,13:08:01.632000,36
A8032A31204E,-77,13:08:13.065000,36
A8032A31204E,-77,13:08:18.828000,36
C45BBE37B346,-75,13:08:26.098000,36
A8032A31204E,-80,13:08:30.380000,36
A8032A31204E,-77,13:08:41.922000,36
A8032A31204E,-64,13:08:51.468000,36
A8032A31204E,-78,13:09:02.897000,36
A8032A31204E,-78,13:09:08.720000,36
C45BBE37B346,-72,13:09:12.254000,36
C45BBE39F56A,-78,13:09:15.560000,36
C45BBE37B346,-73,13:09:16.124000,36
A8032A31204E,-66,13:09:22.258000,36
A8032A31204E,-76,13:09:31.760000,36
C45BBE37B346,-75,13:09:33.666000,36
A8032A31204E,-66,13:09:43.231000,36
A8032A31204E,-72,13:09:53.001000,36
A8032A31204E,-73,13:10:02.390000,37
C45BBE386952,-79,13:10:04.956000,37
A8032A31204E,-70,13:10:08.175000,37
C45BBE37B346,-69,13:10:20.853000,37
A8032A31204E,-73,13:10:23.471000,37
C45BBE39F56A,-80,13:10:31.857000,37
C45BBE37B346,-71,13:10:32.343000,37
A8032A31204E,-77,13:10:33.009000,37
A8032A31204E,-69,13:10:40.682000,37
C45BBE37B346,-80,13:10:43.863000,37
A8032A31204E,-76,13:10:46.422000,37
C45BBE37B346,-67,13:10:55.309000,37
A8032A31204E,-71,13:11:00.093000,37
A8032A31204E,-77,13:11:13.353000,37
C45BBE37B346,-75,13:11:14.559000,37
A8032A31204E,-80,13:11:22.995000,37
A8032A31204E,-68,13:11:32.547000,37
C45BBE386952,-78,13:11:38.272000,37
