,timestamp,macModule,rssi,h,min,metre
478,2022-11-18 12:56:39.732,C45BBE39F4D6,-80.0,12,56,15.0
477,2022-11-18 12:56:42.063,C45BBE39870E,-58.0,12,56,15.0
476,2022-11-18 12:56:45.581,C45BBE39F4D6,-73.0,12,56,15.0
475,2022-11-18 12:56:45.966,C45BBE39870E,-75.0,12,56,15.0
474,2022-11-18 12:57:03.484,C45BBE39870E,-73.0,12,57,15.0
473,2022-11-18 12:57:09.312,C45BBE39870E,-75.0,12,57,15.0
472,2022-11-18 12:57:42.151,A8032A311FAA,-69.0,12,57,15.0
471,2022-11-18 12:57:42.325,C45BBE39F4D6,-59.0,12,57,15.0
470,2022-11-18 12:57:42.359,C45BBE39870E,-78.0,12,57,15.0
469,2022-11-18 12:57:46.260,C45BBE39F4D6,-67.0,12,57,15.0
468,2022-11-18 12:57:50.200,C45BBE39870E,-78.0,12,57,15.0
467,2022-11-18 12:57:51.885,A8032A311FAA,-74.0,12,57,15.0
466,2022-11-18 12:57:53.978,C45BBE39F4D6,-77.0,12,57,15.0
465,2022-11-18 12:58:01.635,A8032A311FAA,-59.0,12,58,15.0
464,2022-11-18 12:58:02.186,C45BBE39F9AE,-77.0,12,58,15.0
463,2022-11-18 12:58:11.931,C45BBE39F9AE,-47.0,12,58,15.0
462,2022-11-18 12:58:12.206,A8032A31204E,-70.0,12,58,15.0
461,2022-11-18 12:58:13.429,A8032A311FAA,-76.0,12,58,15.0
460,2022-11-18 12:58:14.077,A8032A31204E,-76.0,12,58,15.0
459,2022-11-18 12:58:21.681,C45BBE39F9AE,-66.0,12,58,15.0
458,2022-11-18 12:58:31.361,C45BBE39F9AE,-78.0,12,58,15.0
457,2022-11-18 12:58:39.263,C45BBE39F9AE,-73.0,12,58,15.0
456,2022-11-18 12:58:52.584,A8032A311FAA,-80.0,12,58,15.0
455,2022-11-18 12:58:53.138,C45BBE39F9AE,-60.0,12,58,15.0
454,2022-11-18 12:59:01.027,C45BBE39F9AE,-79.0,12,59,16.0
453,2022-11-18 12:59:12.711,C45BBE39F9AE,-79.0,12,59,16.0
452,2022-11-18 12:59:22.416,C45BBE39F9AE,-69.0,12,59,16.0
451,2022-11-18 12:59:22.883,A8032A31204E,-80.0,12,59,16.0
450,2022-11-18 12:59:30.152,C45BBE39F9AE,-71.0,12,59,16.0
449,2022-11-18 12:59:30.521,A8032A31204E,-74.0,12,59,16.0
448,2022-11-18 12:59:41.835,C45BBE39F9AE,-77.0,12,59,16.0
447,2022-11-18 12:59:43.273,A8032A311FAA,-73.0,12,59,16.0
446,2022-11-18 12:59:51.731,C45BBE39F9AE,-66.0,12,59,16.0
445,2022-11-18 12:59:53.012,A8032A311FAA,-80.0,12,59,16.0
444,2022-11-18 13:00:01.164,A8032A31204E,-80.0,13,0,16.0
443,2022-11-18 13:00:02.865,C45BBE39F9AE,-74.0,13,0,16.0
442,2022-11-18 13:00:06.622,A8032A311FAA,-79.0,13,0,16.0
441,2022-11-18 13:00:10.773,C45BBE39F9AE,-72.0,13,0,16.0
440,2022-11-18 13:00:10.784,A8032A31204E,-79.0,13,0,16.0
439,2022-11-18 13:00:20.323,A8032A31204E,-77.0,13,0,16.0
438,2022-11-18 13:00:22.202,A8032A311FAA,-75.0,13,0,16.0
437,2022-11-18 13:00:22.484,C45BBE39F9AE,-65.0,13,0,16.0
436,2022-11-18 13:00:29.958,A8032A311FAA,-79.0,13,0,16.0
435,2022-11-18 13:00:32.314,C45BBE39F9AE,-64.0,13,0,16.0
434,2022-11-18 13:00:39.777,A8032A311FAA,-79.0,13,0,16.0
433,2022-11-18 13:00:42.151,C45BBE39F9AE,-77.0,13,0,16.0
432,2022-11-18 13:00:43.426,A8032A31204E,-68.0,13,0,16.0
431,2022-11-18 13:00:51.974,C45BBE39F9AE,-76.0,13,0,16.0
430,2022-11-18 13:00:53.095,A8032A31204E,-73.0,13,0,16.0
429,2022-11-18 13:01:01.944,C45BBE39F9AE,-73.0,13,1,17.0
